S.No,Gender,Age_Group,Skin_Type,Skin_Concern,Recommended_Products
1,Male,15-20,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1669,Male,21-25,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1670,Female,31-35,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1671,Male,26-30,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1672,Male,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1673,Male,31-35,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1674,Male,15-20,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1675,Male,41-45,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1676,Female,15-20,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1677,Female,26-30,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1678,Female,Above 45,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1679,Female,31-35,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1680,Male,36-40,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1681,Male,26-30,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1682,Male,36-40,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1683,Male,15-20,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1684,Female,26-30,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1685,Male,36-40,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1686,Male,26-30,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1687,Female,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1688,Male,41-45,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1689,Female,36-40,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1690,Female,Above 45,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1691,Female,21-25,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1692,Female,31-35,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1693,Female,21-25,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1694,Female,15-20,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1695,Female,31-35,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1696,Male,31-35,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1697,Male,26-30,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1698,Female,21-25,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1699,Female,15-20,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1700,Female,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1701,Male,26-30,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1702,Male,36-40,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1703,Male,26-30,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1704,Female,41-45,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1705,Male,31-35,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1706,Male,15-20,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1707,Male,26-30,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1708,Male,36-40,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1709,Female,21-25,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1710,Male,36-40,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1711,Male,36-40,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1712,Male,36-40,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1713,Male,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1714,Male,Above 45,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1715,Male,15-20,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1716,Female,Above 45,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1717,Female,31-35,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1718,Male,Above 45,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1719,Female,Above 45,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1720,Male,41-45,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1721,Female,31-35,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1722,Female,15-20,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1723,Male,21-25,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1724,Female,26-30,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1725,Female,Above 45,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1726,Female,31-35,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1727,Female,41-45,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1728,Female,15-20,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1729,Male,Above 45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1730,Male,15-20,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1731,Male,Above 45,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1732,Male,36-40,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1733,Male,21-25,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1734,Female,41-45,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1735,Female,15-20,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1736,Male,21-25,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1737,Male,Above 45,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1738,Male,21-25,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1739,Male,41-45,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1740,Female,26-30,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1741,Male,Above 45,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1742,Female,26-30,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1743,Female,36-40,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1744,Female,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1745,Male,41-45,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1746,Male,41-45,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1747,Female,Above 45,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1748,Male,Above 45,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1749,Female,Above 45,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1750,Male,26-30,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1751,Male,15-20,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1752,Male,26-30,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1753,Male,21-25,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1754,Male,Above 45,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1755,Male,26-30,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1756,Female,31-35,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1757,Male,21-25,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1758,Male,36-40,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1759,Female,41-45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1760,Female,26-30,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1761,Male,21-25,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1762,Male,31-35,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1763,Female,36-40,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1764,Female,Above 45,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1765,Male,41-45,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1766,Female,21-25,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1767,Male,26-30,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1768,Female,15-20,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1769,Male,26-30,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1770,Male,15-20,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1771,Male,Above 45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1772,Female,31-35,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1773,Male,21-25,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1774,Male,41-45,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1775,Male,26-30,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1776,Female,21-25,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1777,Female,36-40,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1778,Male,31-35,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1779,Female,15-20,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1780,Female,31-35,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1781,Female,21-25,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1782,Female,Above 45,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1783,Male,31-35,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1784,Female,31-35,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1785,Male,41-45,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1786,Male,36-40,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1787,Male,36-40,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1788,Female,36-40,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1789,Female,26-30,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1790,Male,36-40,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1791,Female,Above 45,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1792,Male,21-25,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1793,Male,36-40,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1794,Female,21-25,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1795,Male,26-30,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1796,Male,36-40,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1797,Male,15-20,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1798,Male,Above 45,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1799,Female,21-25,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1800,Male,36-40,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1801,Male,26-30,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1802,Male,15-20,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1803,Female,36-40,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1804,Male,15-20,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1805,Male,15-20,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1806,Male,21-25,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1807,Female,31-35,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1808,Male,15-20,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1809,Male,15-20,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1810,Male,36-40,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1811,Male,Above 45,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1812,Male,15-20,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1813,Male,26-30,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1814,Male,26-30,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1815,Female,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1816,Male,31-35,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1817,Male,15-20,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1818,Male,31-35,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1819,Female,21-25,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1820,Male,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1821,Female,Above 45,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1822,Male,21-25,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1823,Male,36-40,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1824,Female,41-45,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1825,Male,21-25,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1826,Female,41-45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1827,Female,41-45,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1828,Male,21-25,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1829,Female,31-35,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1830,Female,21-25,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1831,Male,21-25,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1832,Female,36-40,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1833,Male,36-40,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1834,Female,36-40,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1835,Female,Above 45,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1836,Female,15-20,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1837,Female,15-20,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1838,Female,31-35,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1839,Male,31-35,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1840,Female,31-35,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1841,Female,26-30,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1842,Female,15-20,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1843,Male,41-45,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1844,Female,36-40,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1845,Female,41-45,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1846,Male,15-20,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1847,Female,15-20,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1848,Male,26-30,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1849,Male,31-35,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1850,Female,Above 45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1851,Male,26-30,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1852,Male,21-25,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1853,Male,36-40,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1854,Female,26-30,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1855,Female,41-45,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1856,Female,15-20,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1857,Female,26-30,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1858,Female,31-35,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1859,Male,15-20,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1860,Male,41-45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1861,Female,15-20,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1862,Female,36-40,Combination,Sensitivity,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1863,Male,15-20,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1864,Male,Above 45,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1865,Male,Above 45,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1866,Male,31-35,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1867,Male,15-20,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1868,Female,21-25,Normal,Oiliness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1869,Female,26-30,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1870,Female,36-40,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1871,Male,36-40,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1872,Female,21-25,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1873,Female,41-45,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1874,Male,Above 45,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1875,Male,26-30,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1876,Male,15-20,Combination,Dullness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1877,Male,21-25,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1878,Male,Above 45,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1879,Female,26-30,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1880,Male,31-35,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1881,Male,31-35,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1882,Female,36-40,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1883,Female,Above 45,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1884,Female,31-35,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1885,Male,31-35,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1886,Female,26-30,Sensitive,Pigmentation,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1887,Male,26-30,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1888,Male,Above 45,Dry,Acne,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1889,Female,41-45,Sensitive,Dryness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1890,Female,15-20,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1891,Male,41-45,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1892,Male,15-20,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1893,Female,41-45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1894,Male,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1895,Female,Above 45,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1896,Female,41-45,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1897,Male,41-45,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1898,Female,41-45,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1899,Male,26-30,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1900,Male,Above 45,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1901,Female,41-45,Combination,Dryness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1902,Male,Above 45,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1903,Female,15-20,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1904,Female,15-20,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1905,Male,Above 45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1906,Female,Above 45,Dry,Oiliness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1907,Female,41-45,Oily,Darkness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
1908,Male,31-35,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1909,Female,21-25,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1910,Male,31-35,Combination,Pigmentation,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1911,Male,26-30,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1912,Male,21-25,Normal,Wrinkles,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1913,Male,15-20,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1914,Male,26-30,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
1915,Male,36-40,Dry,Wrinkles,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1916,Female,26-30,Combination,Oiliness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
1917,Female,36-40,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1918,Male,Above 45,Normal,Acne,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1919,Female,41-45,Dry,Pigmentation,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1920,Female,26-30,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
1921,Female,36-40,Dry,Dryness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
1922,Male,36-40,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
